"";"x"
"19538";"Το θρεντ είναι πολύ σύντομο, δυστυχώς."
"19539";"Τα 20 πιο συνηθισμένα αθώα ψέματα που λέμε συχνά  μέσω του χρήστη @MIKROPRAGMATA"
"19540";"@Red88Horse Καλημέρα συμπάσχω"
"19541";"Πίστευε και μη βλαμμένα"
"19542";"@Freddos θα ήταν έτοιμο και το θα το πουλούσε ήδη ο Βελόπουλος :)"
"19543";"Είναι πιο κοντά στη Βεγγάζη απ' ότι στη Θεσ/νίκη."
"19544";"9) Ζάγκρεμπ: 799"
"19545";"7) <U+02BC>γκυρα: 604"
"19546";"    Federico Garcia Lorca"
"19547";"Η κυβέρνηση κλείνει τα μάτια, αντί να προχωρήσει ΑΜΕΣΑ σε μέτρα οικονομικής στήριξης των κατοίκων, των ακριτικών περιοχών."
"19548";"Οξεία αντίδραση της ΟΝΝΕΔ στη στάση εργασίας της ΑΔΕΥ για την ημέρα της γυναίκας!   @ONNED @ThePresidentGr @pavlmarin"
"19549";"@ninarei Εγώ κάτι θυμάμαι αλλά πρέπει να πάμε καμιά ενενηνταριά χρόνια πίσω."
"19550";"4 ρίχτερ στις Αλκυονίδες; "
"19551";"#BoycottTurkey"
"19552";"@Ellinofreneia Καλώς τον μαλάκα"
"19553";NA
"19554";NA
"19555";NA
"19556";NA
"19557";NA
"19558";NA
"19559";NA
"19560";NA
"19561";NA
"19562";NA
"19563";NA
"19564";"Σε 99 χώρες επελαύνει ο κορωνοϊός με 3.460 νεκρούς και 101.800 κρούσματα - Στο «κόκκινο» η Ιταλία με κρούσματα και στη Βουλή  Στους 197 οι νεκροί στην Ιταλία, στους 124 στο Ιράν, στους 12 στις ΗΠΑ - Η Τουρκία δεν έχει αναφέρει ούτε ένα κρούσμα "
"19565";"@Ria_gatt Έχει και αλλά χρώματα καλε"
"19566";"@CaloudisHarry Μακάρι να είναι αυτό καί όχι κάνα κόλπο του Ερντογάν."
"19567";"Λοιπόν δεν ήξερα ότι έχε γράψει τόσα διαμαντάκια είδατε όλοι τον τραγουδιστή αναφέρουμε κ όχι τον στιχουργό μέγα λάθος #StinIgiamas"
"19568";"Διαμαρτύρονται ότι έχασαν τις εκλογές απο τα fake news του Κυργιάκου, αυτοί που διασπείρουν όλα -μα όλα - τα fake news που ξερνούν τα τουρκικά φερέφωνα."
"19569";"@athinasap Εννοώ*"
"19570";"Μου θυμίζει άλωση της Κων/πολης, στέλνονται πρώτα τα πιόνια στα σύνορα, μετά ειδικά καθάρματα...#ΙStandWithGreece"
"19571";"@taniertoxotis Καλημέρα Tania <U+0001F339>! Καλό Σαββατοκύριακο !"
"19572";"#syriza_xeftiles #IStandWithGreece #GreeceUnderAttack Οι μουσουλμάνοι του Έβρου ρε μπαγλαμαδες αριστεροί . Συγκινητική προσφορά στον Ελληνικό Στρατό από τους μουσουλμάνους του Έβρου "
"19573";"Συνεχίζεται η ένταση στον Έβρο με νέες απόπειρες μεταναστών να περάσουν τα σύνορα και ρίψεις δακρυγόνων (Βίντεο και φωτογραφίες) "
"19574";"@Adamant19482884 Καλό ξημέρωμα Αδαμαντία."
"19575";"via @thepapergr "
"19576";"Ο Ερντογάν αλλάζει στρατηγική επέλεξε την πιο μαζική εισβολή μεταναστων και προσφύγων να την επιδιώξει κυρίως από τα χερσαία σύνορα."
"19577";"Ο Δήμος Βριλησσίων «πολεμά» τον καρκίνο του μαστού με ενημερωτική ημερίδα. Τρίτη 10 Μαρτίου και ώρα 10π.μ. στο Πνευματικό Κέντρο της πόλης (Κισσάβου 11). "
"19578";"@petruccios Ν μου στέλνεις μήνυμα κάθε μια ώρα να μπαίνω να το κάνω ριτουι ξανά κ ξανά <U+0001F602><U+0001F602><U+0001F602><U+0001F602>"
"19579";"Γλυκερία - Βάλε με στην αγκαλιά σου"
"19580";"Απόλλων Π: Με οκτώ παίκτες απέναντι στον Ολυμπιακό Β<U+0092>  #superbasket.gr"
"19581";""
"19582";"Αποκλειστικό ΑΝΤ1: αποζημίωση -<U+0093>μαμούθ<U+0094> για τον 11χρονο Μάριο που σκοτώθηκε από αδέσποτη σφαίρα  #Ant1news"
"19583";"για μια μέρα"
"19584";" via @YouTube"
"19585";"Πληροφορίες: "
"19586";"H Julia Roberts σε μια από τις καλύτερες ερμηνείες της καριέρας της!! #ErinBrockovich #now #ant1tv #movietime "
"19587";"@GiannaIoa @Crusher44173286 Καλά..."
"19588";"#Refugeesgr #Evros #Palmer"
"19589";"Absurdite της εποχης.."
"19590";"Φασιστοειδη περιπολουν στα νησια και στα συνορα κυνηγωντας προσφυγες,ελληνες δημοσιογραφοι και σαιτ  ξεπλενουν ναζι που ηρθαν στα νησια,παπαδες και λοιμωξιολογοι βεβαιωνουν οτι δεν κολλας τον κορονοιο αμα εισαι πιστος,αλλα οι πατριωτες δεν θελουν ν'αλλοιωθει ο πολιτισμος μας"
"19591";"Πανικός στο Λος <U+02BC>ντζελες <U+0096> <U+02BC>δειασαν τα ράφια στα σούπερ μάρκετ λόγω κορωνοϊού (Φωτογραφίες) <U+0096> Ακόμη ένας θάνατος στις ΗΠΑ "
"19592";"Οι ανήλικοι εν τη αιθούση ας μην διαβάσουν: Χάρη στη δημοσιονομική, αντιπληθωριστική και νομισματική πειθαρχία - τα ""μνημόνια"" - έγινε εφικτή η μεγάλη πολεμική εξόρμηση (12-22), η προετοιμασία (53-67) και η ένταξη (89-01) στον σκληρό πυρήνα των Ευρ. Θεσμών."
"19593";"@LianaBarbie @queenshelleyh Εντάξει αυτό πες το ξέρεις πριν πας! #MasterChefGR"
"19594";"#psychologynowgr #psychology "
"19595";"@Cyberela Για την τρελή πτώση πωλήσεων την μπύρας Corona τα διάβασες, έτσι? "
"19596";"Και όταν δίνετε στοιχεία να τα έχετε διαβάσει πρώτα... "
"19597";"Με τον @Mandravelis έχω διαφωνήσει πολλές φορές.Όμως ο άνθρωπος έχει αρχές ήθος και λέει την άποψή του χωρίς να χαρίζεται σε κανένα.Όπως θα έπρεπε να κάνουν οι δημοσιογράφοι. Πάσχο γερά από έναν αριστερό."
"19598";""
"19599";"Πούλου: Και οι δωρεές που στέλνονται στα σύνορα συμβάλλουν στον εθνικισμό και στην μισαλλοδοξία"
"19600";"- Ο Όμηρος;;;"
"19601";"@maryskyis Αυτά τα έχουμε κόψει 30 χρόνια"
"19602";"Μητσοτάκης στο CNN: Η συμφωνία ΕΕ-Τουρκίας είναι νεκρή - Δεν θα εκβιαστεί η Ευρώπη -  "
"19603";"Πώς πέρασες τη μέρα σου μωράκι μου, μου λέει. Όλα καλά, σπίτι ήμουν, έπαιξα την ΕΥΔΑΠ στο οβερ της Φούλαμ, λέω."
"19604";"-Κατι καλύτερο δεν γίνεται;"
"19605";"@stamatismalelis Είσαι γελοίος τελικά και επικίνδυνος"
"19606";"@netakos Ω θεε μουω"
"19607";"Δρ. Σμόλγουντ (ΠΟΥ) στο Reader: Ο κοροναϊός είναι ικανός να εξαπλωθεί σε θερμότερα κλίματα "
"19608";"@Dimitris_Bucket Καιρό είχα να ταυτιστώ έτσι με τουί! <U+0001F44F>"
"19609";"Το διάστημα που ο κ. Τσίπρας δήλωσε ότι «είχε κλείσει τα σύνορα στον Έβρο», πέρασαν τα χερσαία σύνορα πάνω από 33.000 μετανάστες."
"19610";"@xa_xa_xa_xo_xo Για μπαικς δ είμαι σίγουρος υπάρχουν πολλοί παίχτες εκεί στα Γκαρντ σε καλύτερη ηλικία κ πιο διψασμένοι το καλοκαίρι, στα αλλά συμφωνώ απόλυτα"
"19611";"@nikosdiamond Πφφφ"
"19612";"@greymous3 Καλημερααα"
"19613";"@bogdanosk @papadimoulis Η απάντηση είναι Ναι, την εγκρίνει. Πρώτη φορά θα είναι άλλωστε;"
"19614";"#freshpatisserie #lifeissweet #lent #sarakosti #truffles #chocolate #chocolatetruffles #saturday "
"19615";"ΟΝΝΕΔ: Η ΑΔΕΔΥ προσβάλλει τις γυναίκες   μέσω @athensvoice"
"19616";"ΑΘΗΝΑ: 379"
"19617";"Σόφια: 444"
"19618";"@Mareadre @Arkadios_Voskos Όχι, εθνικό. Πρέπει να γίνει κατανοητό το πόσο κοντά είμαστε στην Βόρεια Αφρική και την Μέση Ανατολή."
"19619";"1) Σόφια: 295"
"19620";"6) Ποντγκόριτσα: 574"
"19621";"@tinapeikaneis4_ Καλα κρασιά"
"19622";"Σπάνια λιμουζίνα Audi A8 σε τιμή<U+0085> ευκαιρίας!  "
"19623";"Βιταμίνη Β3: Πού βοηθά &amp; ποιες είναι οι καλύτερες πηγές (φωτο) "
"19624";"@argie810 Ευχαριστώ πολύ Αργυρω μου, να είσαι καλα <U+2764><U+FE0F><U+0001F339><U+0001F370><U+0001F618>"
"19625";"Η #ΕΣΗΕΑ καταδικάζει τις επιθέσεις κατά των δημοσιογράφων σε #Έβρο και νησιά "
"19626";"Γιάννης Καλπούζος: Εράν - Βυζαντινά αμαρτήματα  "
"19627";"14ο Νηπιαγωγείο:  Ένα ακόμη στολίδι της πόλης παίρνει την τελική του μορφή "
"19628";"ΥΠΑΡΧΕΙ ΚΑΜΙΑ ΣΟΒΑΡΗ ΚΟΠΕΛΑ ΑΠΟ ΑΘΗΝΑ ΠΟΥ ΝΑ ΕΝΔΙΑΦΕΡΕΤΑΙ ΚΑΙ ΓΙΑ ΕΚΤΟΣ TWITTER ΓΝΩΡΙΜΙΑ (ΑΝ ΝΑΙ ΑΣ ΜΟΥ ΚΑΝΕΙ FOLLOW Ή ΣΤΕΙΛΕΙ ΜΗΝΥΜΑ)?????????????????????????????????????"
"19629";"@fuckingbyepolar Eνα μαυρο xxxl εγω, που να το γραφει μπροστα"
"19630";"Ενώ η τακτική της κυβέρνησης και των ευρωπαίων εταίρων συσπειρώνει την ακροδεξιά, εντός και εκτός συνόρων. "
"19631";"Ακολουθήστε 101 άτομα τον @30__kai να δω κάτι... <U+0001F92D>"
"19632";"Ο Κύριος είναι μαζί μας, η #Ελλάδα ποτέ δεν πεθαίνει!"
"19633";"@DN21533686 @romantikos5 Σε ευχαριστώ πολύ Δήμητρα. Επίσης καλό Σαββατοκύριακο."
"19634";"@peacefulew <U+02BC>ργησες όμως και συμβιβάστηκα με το κέντρο. Βασικός."
"19635";"@ste506 Δεν θα είχα τόσο εύκολες τις λέξεις. Όχι."
"19636";""
"19637";"Παγκόσμια ανησυχία με τον έξαρση του κοροναϊού "
"19638";"Κοροναϊός: 1135, η νέα τηλεφωνική γραμμή από τον ΕΟΔΥ "
"19639";"Τούρκικο στρατιωτικό όχημα προσπαθεί να ρίξει  το φράχτη στον Έβρο "
"19640";"ΥΓ. (Όχι ψέματα όχι ύπουλες απαντήσεις όχι λαμογιές. Απαντήστε με μπέσα. )"
"19641";"Καλημέρα με το Ρίζο"
"19642";"Κεφτεδακια τηγανιτά "
"19643";"Διεθνής Αερολιμένας Αθηνών: Συνελήφθη «ομάδα χάντμπολ» "
"19644";"Μια απαγόρευση που έχει ως στόχο να πεισθούν - ξεγελαστουν Ευρώπη και Ελλάδα ότι συμμορφώθηκε ώστε να ενεργοποιηθεί και πάλι η Συμφωνία, την οποία έχει καταγγείλει η Ελλάδα ως <U+02BC>κυρη εξ αιτίας της στάσης της Τουρκίας."
"19645";"Χρησιμοποιεί ντόπια ερπετά"
